State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
IA,MILLS,9,4491.0,9.0,4491.0
IA,MITCHELL,3,775.0,3.0,775.0
IA,MONROE,4,913.0,4.0,913.0
IA,MUSCATINE,38,846341.44,27.0,335951.0
IA,OBRIEN,2,637.0,2.0,637.0
IA,OSCEOLA,9,1080.0,9.0,1080.0
IA,PAGE,5,2134.0,5.0,2134.0
IA,PALO ALTO,8,2348.0,8.0,2348.0
IA,PLYMOUTH,5,1755.0,5.0,1755.0
IA,POCAHONTAS,23,6077.68,15.0,5608.0
IA,POLK,273,707066.0,273.0,707066.0
IA,RINGGOLD,8,3992.0,8.0,3992.0
IA,SCOTT,233,637706.81,69.0,596313.0
IA,SHELBY,71,7999.16,16.0,7984.0
IA,SIOUX,11,1226.13,8.0,1050.0
IA,STORY,36,743312.0,36.0,743312.0
IA,TAMA,2,276.0,2.0,276.0
IA,TAYLOR,7,1680.0,6.0,1338.0
IA,UNION,2,276.0,2.0,276.0
IA,WARREN,7,840.0,7.0,840.0
IA,WASHINGTON,30,752725.3,30.0,752725.3
IA,WAYNE,7,2031.0,7.0,2031.0
IA,WINNEBAGO,24,2017.99,12.0,1512.0
IA,WINNESHIEK,2,240.0,2.0,240.0
IA,WOODBURY,18,7899.0,18.0,7899.0
IA,WORTH,3,1497.0,3.0,1497.0
IA,WRIGHT,13,1960.97,6.0,1550.0
ID,ADA,34,620008.0,34.0,620008.0
ID,BANNOCK,30,266559.0,27.0,251217.0
ID,BEAR LAKE,9,38992.0,9.0,38992.0
ID,BENEWAH,22,6134.81,11.0,5489.0
ID,BINGHAM,5,189996.0,5.0,189996.0
ID,BLAINE,5,1994.0,5.0,1994.0
ID,BONNER,160,165344.12,47.0,117808.0
ID,BONNEVILLE,4,188225.42,2.0,188108.0
ID,BOUNDARY,1233,342301.98,14.0,89859.81
ID,BUTTE,1,188000.0,1.0,188000.0
ID,CANYON,75,522978.05,3.0,506138.0
ID,CARIBOU,503,247232.57,11.0,96300.0
ID,CLARK,39,8513.93,3.0,1497.0
ID,CLEARWATER,587,1342995.55,9.0,436668.0
ID,ELMORE,3,3000.0,0.0,0.0
ID,FRANKLIN,2465,1452631.75,10.0,709061.0
ID,FREMONT,63,137990.88,34.0,54273.0
ID,GEM,65,13074.07,23.0,9311.0
ID,GOODING,15,7032.6900000000005,13.0,6487.0
ID,IDAHO,169,357285.26,38.0,76461.0
ID,JEFFERSON,684,150923.11,2.0,47207.0
ID,JEROME,6,828.0,6.0,828.0
ID,KOOTENAI,14,672851.0,13.0,662851.0
ID,LATAH,37,9039.63,25.0,8865.0
ID,LEMHI,38,9628.23,25.0,8865.0
ID,LEWIS,33,31262.55,14.0,28917.43
ID,LINCOLN,5,1394.0,5.0,1394.0
ID,MADISON,552,259162.69,38.0,124438.0
ID,MINIDOKA,4,1635.0,4.0,1635.0
ID,NEZ PERCE,32,31189.32,9.0,4491.0
ID,ONEIDA,9,51061.0,9.0,51061.0
ID,OWYHEE,3,1497.0,3.0,1497.0
ID,POWER,2,240.0,2.0,240.0
ID,SHOSHONE,31,2589.28,20.0,2580.0
ID,TETON,5,119757.0,2.0,50000.0
ID,TWIN FALLS,17,2689.92,17.0,2689.92
ID,VALLEY,1,138.0,1.0,138.0
ID,WASHINGTON,9,4491.0,9.0,4491.0
IL,ADAMS,48,183163.3,17.0,181402.0
IL,ALEXANDER,28,250335.31,9.0,120985.0
IL,BOND,91,735503.24,12.0,172959.0
IL,BOONE,20,199834.0,17.0,98030.0
IL,BUREAU,614,449980.82,85.0,339339.58
IL,CARROLL,741,163922.56,30.0,70226.69
IL,CASS,2,998.0,2.0,998.0
IL,CHAMPAIGN,108,830022.0,108.0,830022.0
IL,CHRISTIAN,221,565685.81,57.0,215337.0
IL,CLARK,2,276.0,2.0,276.0
IL,CLAY,12,827.1,2.0,240.0
IL,CLINTON,1582,189912.11,66.0,142350.66
IL,COLES,56,14171.88,28.0,12528.0
IL,COOK,6458,10298413.19,1534.0,4412474.95
IL,CRAWFORD,279,90478.54,27.0,32705.32
IL,DE KALB,80,101878.23,19.0,55690.0
IL,DE WITT,54,100057.09000000001,10.0,99230.0
IL,DU PAGE,260,280172.49,209.0,112311.96
IL,EDGAR,6,828.0,6.0,828.0
IL,EDWARDS,3,542.3,3.0,542.3
IL,EFFINGHAM,26,3525.49,7.0,2410.0
IL,FAYETTE,3,1497.0,3.0,1497.0
IL,FORD,5,1773.0,5.0,1773.0
IL,FRANKLIN,19,52228.13,16.0,52052.0
IL,FULTON,255,194160.83,30.0,108015.0
IL,GALLATIN,1,25000.0,1.0,25000.0
IL,GRUNDY,4,1996.0,4.0,1996.0
IL,HAMILTON,22,136961.53,8.0,51490.0
IL,HANCOCK,8,1173.13,5.0,997.0
IL,HARDIN,71,1792356.44,13.0,243357.0
IL,HENDERSON,6,774.0,6.0,774.0
IL,HENRY,6,2272.0,6.0,2272.0
IL,JACKSON,71,66742.59999999999,7.0,2350.0
IL,JEFFERSON,79,105093.55,27.0,105070.0
IL,JO DAVIESS,129,3089557.9,16.0,134639.0
IL,JOHNSON,39,7108.24,4.0,480.0
IL,KANE,7117,2364434.2,202.0,1080271.88
IL,KANKAKEE,404,1212509.62,38.0,860451.1
IL,KENDALL,235,1084819.59,50.0,1042258.0
IL,KNOX,3207,998379.15,40.0,287440.42
IL,LA SALLE,1042,426182.35,103.0,193265.16999999998
IL,LAKE,1991,9726265.93,256.0,3927405.43
IL,LAWRENCE,14,4820.0,14.0,4820.0
IL,LEE,24,11976.0,24.0,11976.0
IL,LOGAN,36,203196.0,36.0,203196.0
IL,MACON,10,26206.0,10.0,26206.0
IL,MACOUPIN,33,329128.70999999996,30.0,310738.0
IL,MADISON,736,383709.02999999997,127.0,91341.0
IL,MARION,47,201777.71,33.0,168673.0
IL,MARSHALL,97,10289.98,30.0,6245.6900000000005
IL,MASON,119,320515.57,14.0,167737.0
IL,MASSAC,1575,4838120.2,16.0,504642.0
IL,MCDONOUGH,5,690.0,5.0,690.0
IL,MCHENRY,2917,1527978.58,223.0,649891.88
IL,MCLEAN,20,7222.42,18.0,7105.0
IL,MENARD,510,4295235.46,15.0,254713.0
IL,MONROE,22,80803.0,22.0,80803.0
IL,MONTGOMERY,199,257717.29,42.0,217311.27000000002
IL,MORGAN,760,440805.45,32.0,231290.72
IL,MOULTRIE,7,604.0,2.0,276.0
IL,OGLE,38,447430.41000000003,26.0,321199.0
IL,PEORIA,4,60998.0,3.0,25998.0
IL,PERRY,7,5528.0,3.0,1136.0
IL,PIATT,18,2159.3599999999997,12.0,1807.1
IL,PIKE,6,1673.13,3.0,1497.0
IL,POPE,68,697754.96,2.0,72989.0
IL,PULASKI,292,1390608.75,5.0,100030.0
IL,PUTNAM,7,1327.0,7.0,1327.0
IL,RANDOLPH,53,13071.22,23.0,8589.0
IL,ROCK ISLAND,140,88232.48000000001,79.0,78208.3
IL,ST CLAIR,2400,1311942.71,231.0,597139.5
IL,SALINE,54,731552.0,5.0,97309.0
IL,SANGAMON,3167,2243283.25,733.0,996851.5599999999
IL,SCOTT,1,138.0,1.0,138.0
IL,SHELBY,5,1412.0,5.0,1412.0
IL,STARK,88,279420.99,9.0,52380.0
IL,STEPHENSON,25,1161633.55,10.0,280659.0
IL,TAZEWELL,691,1081945.37,128.0,516386.0
IL,UNION,4,39292.0,4.0,39292.0
IL,VERMILION,64,87287.0,64.0,87287.0
IL,WASHINGTON,36,62686.11,11.0,33639.95
IL,WAYNE,9,120705.0,9.0,120705.0
IL,WHITE,42,1286898.0,12.0,378484.0
IL,WHITESIDE,17,32094.0,16.0,32094.0
IL,WILL,1731,1208777.38,273.0,671663.69
IL,WILLIAMSON,174,1609168.4,60.0,1018541.72
IL,WINNEBAGO,182,1034898.06,16.0,865891.0
IL,WOODFORD,4,552.0,4.0,552.0
IN,ADAMS,811,279240.27999999997,38.0,8981.0
IN,ALLEN,188,47877.71,82.0,29854.0
IN,BARTHOLOMEW,39,7524.26,33.0,7172.0
IN,BLACKFORD,2442,167001.86,29.0,41789.0
IN,BOONE,143,118576.52,54.0,108128.92
IN,BROWN,173,26080.08,12.0,4033.0
IN,CASS,35,2988.33,12.0,1638.0
IN,CLARK,11412,11816915.22,122.0,941261.5700000001
IN,CLAY,39,92404.45,21.0,80244.0
IN,CLINTON,139,534827.1,26.0,54089.38
IN,CRAWFORD,131,81042.48,11.0,2387.43
IN,DAVIESS,51,12532.91,30.0,11300.0
IN,DE KALB,331,87501.02,31.0,62724.17
IN,DEARBORN,8,1429.0,8.0,1429.0
IN,DECATUR,3,1136.0,3.0,1136.0
IN,DELAWARE,334,426252.98,67.0,349076.0
IN,DUBOIS,14,1103.1,4.0,516.0
IN,ELKHART,149,23918.940000000002,98.0,17860.0
IN,FAYETTE,26,183414.09,11.0,182410.0
IN,FLOYD,137,28541.7,83.0,19790.0
IN,FRANKLIN,13,1705.1,3.0,1118.0
IN,FULTON,3,775.0,3.0,775.0
IN,GIBSON,12,29406.0,12.0,29406.0
IN,GRANT,84,43394.78,53.0,13993.0
IN,GREENE,17,2159.81,6.0,1514.0
IN,HAMILTON,841,125583.82,212.0,113575.92
IN,HANCOCK,36,4155.33,13.0,2805.0
IN,HARRISON,334,77003.92,10.0,52428.0
IN,HENDRICKS,101,24782.72,67.0,22904.0
IN,HENRY,491,645778.9600000001,44.0,385692.0
IN,HOWARD,24,8366.0,24.0,8366.0
IN,HUNTINGTON,415,504648.98,39.0,325350.0
IN,JACKSON,49,83824.0,49.0,83824.0
IN,JASPER,16,5096.0,16.0,5096.0
IN,JAY,42,66111.83,24.0,62555.0
IN,JEFFERSON,35,1114066.1,23.0,958451.0
IN,JENNINGS,28,5518.81,17.0,4873.0
IN,JOHNSON,118,777884.2,98.0,776710.0
IN,KNOX,85,194901.96,55.0,87845.0
IN,KOSCIUSKO,486,136684.04,53.0,116337.0
IN,LA PORTE,2,95978.0,2.0,95978.0
IN,LAGRANGE,358,615603.4299999999,29.0,219351.28
IN,LAKE,301,2089511.7,171.0,2011862.0
IN,LAWRENCE,34,84013.39,25.0,83485.0
IN,MADISON,208,120568.43,123.0,108343.0
IN,MARION,9424,1573358.36,385.0,750016.9
IN,MARSHALL,117,57208.799999999996,2.0,39190.0
IN,MARTIN,8,1104.0,8.0,1104.0
IN,MIAMI,21,3256.13,18.0,3080.0
IN,MONROE,218,21530.010000000002,52.0,20034.0
IN,MONTGOMERY,2,178.71,1.0,120.0
IN,MORGAN,38,667913.65,23.0,667033.0
IN,NOBLE,296,272681.16000000003,54.0,67428.09
IN,ORANGE,15,46124.81,4.0,45479.0
IN,OWEN,5,1266.71,2.0,998.0
IN,PARKE,23,113286.34,8.0,51550.0
IN,PERRY,361,35551.88,1.0,25000.0
IN,PIKE,296,46762.380000000005,23.0,42067.62
IN,PORTER,128,343985.18,61.0,249684.0
IN,PULASKI,1003,5216673.0600000005,70.0,1010682.55
IN,PUTNAM,13325,4050785.98,16.0,242341.3
IN,RANDOLPH,22,52664.13,14.0,52438.0
IN,RIPLEY,3,1497.0,3.0,1497.0
IN,RUSH,14,6625.0,14.0,6625.0
IN,SCOTT,1820,2152660.7600000002,9.0,169690.0
IN,SHELBY,871,449160.95,81.0,351840.95999999996
IN,SPENCER,8,1104.0,8.0,1104.0
IN,ST JOSEPH,6987,2399174.36,216.0,1195196.3599999999
IN,STARKE,27,128046.62,6.0,81413.0
IN,STEUBEN,1108,762352.09,27.0,82897.0
IN,SWITZERLAND,7,851.26,1.0,499.0
IN,TIPPECANOE,202,930256.29,152.0,920594.7
IN,TIPTON,17,6844.42,15.0,6727.0
IN,UNION,122,10690.210000000001,7.0,2049.0
IN,VANDERBURGH,1299,682117.88,66.0,505798.16000000003
IN,VERMILLION,13,1886.8400000000001,7.0,1652.0
IN,VIGO,1485,986631.3200000001,120.0,949281.69
IN,WABASH,19,8699.0,19.0,8699.0
IN,WARRICK,13,90671.0,13.0,90671.0
IN,WASHINGTON,69,74431.21,13.0,52240.0
IN,WAYNE,59,456469.42,55.0,393569.0
IN,WELLS,6,2272.0,6.0,2272.0
IN,WHITE,2,50000.0,2.0,50000.0
IN,WHITLEY,35,9777.65,20.0,8897.0
KS,ALLEN,18,3654.6800000000003,10.0,3185.0
KS,ANDERSON,9,607.6800000000001,1.0,138.0
KS,BARTON,40,9838.78,22.0,8782.0
KS,BOURBON,14,3575.0,14.0,3575.0
KS,BROWN,29,144612.78,5.0,141253.0
KS,BUTLER,23,6700.26,17.0,6348.0
KS,CHAUTAUQUA,32,3151.23,19.0,2388.0
KS,CHEROKEE,31,2502.84,27.0,2268.0
KS,CHEYENNE,29,35970.92,15.0,27907.0
KS,CLAY,8,2876.0,8.0,2876.0
KS,COFFEY,40,691618.89,9.0,658978.0
KS,COMANCHE,1,138.0,1.0,138.0
KS,COWLEY,38,9018.05,31.0,8412.0
KS,CRAWFORD,43,14339.26,37.0,13987.0
KS,DECATUR,2,258.0,2.0,258.0
KS,DICKINSON,17,3556.0,17.0,3556.0
KS,DOUGLAS,42,68069.42,16.0,52059.0
KS,ELLIS,27,7234.0,27.0,7234.0
KS,ELLSWORTH,16,1920.0,16.0,1920.0
KS,FINNEY,107,170550.2,82.0,169048.0
KS,FORD,12,70780.0,12.0,70780.0
KS,FRANKLIN,23,34309.0,23.0,34309.0
KS,GEARY,52,10262.31,41.0,9107.0
KS,GRAHAM,4,675.13,1.0,499.0
KS,GRANT,1,25000.0,1.0,25000.0
KS,GRAY,1,25000.0,1.0,25000.0
KS,GREELEY,2,998.0,2.0,998.0
KS,GREENWOOD,2,69722.0,2.0,69722.0
KS,HAMILTON,1,47989.0,1.0,47989.0
KS,HARVEY,15,27387.42,13.0,27270.0
KS,HASKELL,5,690.0,5.0,690.0
KS,JACKSON,7,840.0,7.0,840.0
KS,JEFFERSON,20,2400.0,20.0,2400.0
KS,JOHNSON,35,420628.0,35.0,420628.0
KS,KIOWA,6,97974.0,6.0,97974.0
KS,LABETTE,4,480.0,4.0,480.0
KS,LEAVENWORTH,22,9146.0,22.0,9146.0
KS,LINN,39,4961.26,33.0,4609.0
KS,LOGAN,3,414.0,3.0,414.0
KS,LYON,12,51236.0,12.0,51236.0
KS,MARION,12,4085.71,11.0,4027.0
KS,MARSHALL,4,833.71,3.0,775.0
KS,MCPHERSON,16,2425.0,16.0,2425.0
KS,MEADE,12,2685.55,7.0,2392.0
KS,MIAMI,56,64691.09,39.0,61388.0
KS,MONTGOMERY,18,446353.0,13.0,415936.0
KS,NEMAHA,4,1996.0,4.0,1996.0
KS,NEOSHO,20,2436.0,20.0,2436.0
KS,NORTON,6,720.0,6.0,720.0
KS,OSAGE,5,619.0,2.0,619.0
KS,OTTAWA,16,1613.55,11.0,1320.0
KS,PAWNEE,20,6289.5,10.0,1200.0
KS,POTTAWATOMIE,16,4151.0,10.0,3495.0
KS,PRATT,107,35051.06,25.0,30478.0
KS,RAWLINS,10,990.84,6.0,756.0
KS,RENO,102,5399.84,35.0,5030.0
KS,RICE,14,7461.0,14.0,7461.0
KS,RILEY,27,5514.0,27.0,5514.0
KS,ROOKS,18,3636.6800000000003,10.0,3167.0
KS,SALINE,59,245450.24,53.0,237856.0
KS,SCOTT,7,1219.0,7.0,1219.0
KS,SEDGWICK,157,889812.2,35.0,699290.1
KS,SHAWNEE,77,17999.0,77.0,17999.0
KS,SHERMAN,15,18163.0,14.0,3990.0
KS,SMITH,6,2994.0,6.0,2994.0
KS,STAFFORD,2,998.0,2.0,998.0
KS,SUMNER,2,240.0,2.0,240.0
KS,THOMAS,10,4268.0,10.0,4268.0
KS,WABAUNSEE,27,26634.11,3.0,25276.0
KS,WICHITA,5,372.84,1.0,138.0
KS,WILSON,39,74747.1,28.0,39160.0
KS,WOODSON,10,4990.0,10.0,4990.0
KS,WYANDOTTE,245,41149.93,117.0,41020.0
KY,ALLEN,16,56986.0,16.0,56986.0
KY,ANDERSON,43,226729.06,17.0,190999.0
KY,BARREN,908,1443691.91,9.0,305706.0
KY,BOONE,188,46489.75,112.0,40533.64
KY,BOURBON,6,227682.0,4.0,122069.0
KY,BOYLE,4241,354813.51,2.0,69722.0
KY,BRACKEN,9,70379.13,4.0,50258.0
KY,BREATHITT,32,530291.0,15.0,195167.0
KY,BRECKINRIDGE,274,341347.32,14.0,243659.69
KY,BULLITT,388,146560.15999999997,29.0,43075.0
KY,BUTLER,8,960.0,8.0,960.0
KY,CALDWELL,2,58400.0,0.0,0.0
KY,CAMPBELL,451,399417.46,34.0,333173.61
KY,CARLISLE,1227,539527.2,18.0,212778.69
KY,CARROLL,15,5680.0,15.0,5680.0
KY,CARTER,9,163013.0,4.0,75108.0
KY,CASEY,313,185241.76,6.0,132956.43
KY,CHRISTIAN,305,224616.61,39.0,186649.46
KY,CLARK,909,97494.08,23.0,75025.69
KY,CLINTON,1,25000.0,1.0,25000.0
KY,CRITTENDEN,1,25000.0,1.0,25000.0
KY,DAVIESS,170,201197.86,31.0,181552.32
KY,EDMONSON,300,379102.13,21.0,214410.98
KY,ESTILL,156,1275176.82,28.0,154946.84
KY,FAYETTE,2,381634.0,2.0,381634.0
KY,FLEMING,3,75000.0,3.0,75000.0
KY,FLOYD,7,147475.0,7.0,147475.0
KY,FRANKLIN,17541,8383543.2,1441.0,3222190.0
KY,FULTON,13,243400.2,5.0,147989.0
KY,GALLATIN,23,409704.55,5.0,155603.0
KY,GARRARD,1,39052.0,1.0,39052.0
KY,GRANT,14,122801.0,12.0,100206.0
KY,GRAVES,30,2987.1,20.0,2400.0
KY,GRAYSON,8,1349.6599999999999,8.0,1349.6599999999999
KY,GREEN,11,100877.0,10.0,92545.0
KY,HANCOCK,34,153023.49,5.0,139350.0
KY,HARDIN,2796,1745289.61,26.0,105801.0
KY,HARLAN,14,109264.82,3.0,108774.0
KY,HART,2,276.0,2.0,276.0
KY,HENDERSON,52,1640343.35,8.0,893030.0
KY,HENRY,28,211112.39,17.0,166043.0
KY,HICKMAN,52,86056.62,7.0,68923.0
KY,HOPKINS,106,212304.61,4.0,188276.0
KY,JEFFERSON,12820,874858.23,302.0,421902.72
KY,JESSAMINE,21,136268.0,21.0,136268.0
KY,JOHNSON,11,29990.0,11.0,29990.0
KY,KENTON,1499,960415.09,95.0,875910.29
KY,LAUREL,917,605305.8,22.0,321289.0
KY,LEE,1,25000.0,1.0,25000.0
KY,LESLIE,4,122989.0,4.0,122989.0
KY,LETCHER,117,282181.44,3.0,50108.0
KY,LEWIS,6,720.0,6.0,720.0
KY,LINCOLN,2336,525264.64,20.0,180703.06
KY,LOGAN,109,212614.59,12.0,193252.0
KY,MADISON,26,375974.0,21.0,197778.0
KY,MAGOFFIN,10,893.55,5.0,600.0
KY,MARION,17,8483.0,17.0,8483.0
KY,MARSHALL,17,186326.45,9.0,123679.0
KY,MARTIN,152,138068.22,3.0,91253.0
KY,MASON,11,324431.0,5.0,187433.0
KY,MCCRACKEN,26,459661.27,10.0,437864.0
KY,MEADE,250,866013.6799999999,2.0,50000.0
KY,MENIFEE,2,72989.0,2.0,72989.0
KY,MERCER,3,166226.0,1.0,25000.0
KY,MONROE,224,3108990.41,29.0,470854.0
KY,MONTGOMERY,31,151199.0,31.0,151199.0
KY,MUHLENBERG,9,299281.0,3.0,97989.0
KY,NELSON,49,5013.73,8.0,960.0
KY,OHIO,30,29881.79,13.0,28822.0
KY,OLDHAM,1911,305405.7,95.0,195715.03
KY,OWEN,24,89201.39,15.0,88673.0
KY,PENDLETON,32,389678.06,15.0,251025.0
KY,PERRY,121,196070.89,13.0,179291.51
KY,PULASKI,9,204118.0,9.0,204118.0
KY,ROCKCASTLE,2,240.0,2.0,240.0
KY,ROWAN,12,156582.0,9.0,133989.0
KY,SCOTT,2993,662066.91,89.0,544687.0
KY,SHELBY,9,9786.2,0.0,0.0
KY,SIMPSON,428,1115191.99,73.0,167113.0
KY,SPENCER,66,440499.36,27.0,173115.0
KY,TAYLOR,2228,1175495.97,2.0,50000.0
KY,TODD,11,52754.0,10.0,51754.0
KY,TRIGG,613,254823.86000000002,16.0,69747.69
KY,TRIMBLE,8,25410.97,1.0,25000.0
KY,UNION,5,135139.45,2.0,119124.0
KY,WARREN,18,2931.75,6.0,2633.0
KY,WAYNE,6,237367.0,2.0,82506.0
KY,WEBSTER,10,164164.0,9.0,93551.0
KY,WHITLEY,33,164516.0,33.0,164516.0
KY,WOODFORD,312,1529003.68,53.0,296800.69
LA,ACADIA,23,738563.0,23.0,738563.0
LA,ASCENSION,22,809899.39,16.0,735017.0
LA,ASSUMPTION,333,825098.26,35.0,808570.0700000001
LA,AVOYELLES,12,5988.0,12.0,5988.0
LA,BEAUREGARD,50,113858.45999999999,19.0,76220.0
LA,BIENVILLE,23,10394.0,23.0,10394.0
LA,BOSSIER,62,33508.0,61.0,30078.0
LA,CADDO,770,99708.56,229.0,94563.0
LA,CALCASIEU,1050,1525969.33,212.0,1524215.0
LA,CAMERON,22,101479.0,22.0,101479.0
LA,CATAHOULA,6,828.0,6.0,828.0
LA,CLAIBORNE,6,2994.0,6.0,2994.0
LA,DE SOTO,27,11668.0,27.0,11668.0
LA,EAST BATON ROUGE,601,1593438.21,572.0,1514186.0
LA,EAST FELICIANA,2,489688.0,2.0,489688.0
LA,EVANGELINE,20,9980.0,20.0,9980.0
LA,FRANKLIN,7,412828.0,7.0,412828.0
LA,IBERVILLE,5,50414.0,5.0,50414.0
LA,JACKSON,3,6276.0,3.0,6276.0
LA,JEFFERSON,16,2557512.0,13.0,1927512.0
LA,JEFFERSON DAVIS,20,1174.2,0.0,0.0
LA,LA SALLE,5,2495.0,5.0,2495.0
LA,LAFAYETTE,165,294571.0,160.0,273545.0
LA,LAFOURCHE,1,733000.0,1.0,733000.0
LA,LINCOLN,126,154598.51,67.0,132967.0
LA,LIVINGSTON,34,785291.86,13.0,644920.0
LA,MOREHOUSE,40,19960.0,40.0,19960.0
LA,NATCHITOCHES,23,6530.0,22.0,6430.0
LA,ORLEANS,8077,238385.44,68.0,44947.17
LA,OUACHITA,79,603325.0,77.0,583325.0
LA,PLAQUEMINES,59,13196.0,59.0,13196.0
LA,POINTE COUPEE,42,4429.5,42.0,4429.5
LA,RAPIDES,113,1723905.68,36.0,1715410.0
LA,ST CHARLES,79,455957.0,79.0,455957.0
LA,ST HELENA,5,2495.0,5.0,2495.0
LA,ST JAMES,3,75000.0,3.0,75000.0
LA,ST LANDRY,46,18146.4,46.0,18146.4
LA,ST MARTIN,15,2070.0,15.0,2070.0
LA,ST MARY,2,276.0,2.0,276.0
LA,ST TAMMANY,67,1689555.0,62.0,1622416.0
LA,ST JOHN THE BAPTIST,1,244844.0,1.0,244844.0
LA,TANGIPAHOA,45,746538.26,39.0,746186.0
LA,TERREBONNE,40,4800.0,40.0,4800.0
LA,VERMILION,29,7902.1,19.0,7315.0
LA,VERNON,272,390209.63,31.0,236363.0
LA,WASHINGTON,31,747970.0,31.0,747970.0
LA,WEBSTER,58,761064.0,58.0,761064.0
LA,WEST FELICIANA,32,1195884.0,32.0,1195884.0
MA,BARNSTABLE,29,100614.0,28.0,100614.0
MA,BERKSHIRE,9,96284.0,9.0,96284.0
MA,BRISTOL,1015,2969583.85,142.0,1782824.08
MA,ESSEX,1386,1192521.8099999998,146.0,1108477.69
MA,FRANKLIN,116,618500.3099999999,1.0,47989.0
MA,HAMPDEN,63,250992.45,57.0,222659.0
MA,HAMPSHIRE,57,197370.88,19.0,140465.0
MA,MIDDLESEX,2256,2886084.01,279.0,660515.0
MA,NORFOLK,480,977665.94,116.0,667540.25
MA,PLYMOUTH,897,698693.41,60.0,436540.0
MA,SUFFOLK,760,486033.25,51.0,342463.0
MA,WORCESTER,739,1356214.93,208.0,714109.2
MD,ALLEGANY,2,276.0,2.0,276.0
MD,ANNE ARUNDEL,271,440294.0,141.0,414038.0
MD,BALTIMORE,283,141217.0,283.0,141217.0
MD,BALTIMORE CITY,1493,121182.97,184.0,47449.0
MD,CALVERT,52,16094.65,37.0,15214.0
MD,CAROLINE,214,137016.96,42.0,95978.0
MD,CARROLL,432,75085.93,118.0,50646.0
MD,CECIL,117,27703.01,13.0,2094.0
MD,CHARLES,328,211923.86000000002,106.0,174995.0
MD,DORCHESTER,55,122446.18,26.0,104344.0
MD,FREDERICK,54,89369.0,42.0,85529.0
MD,GARRETT,19,9341.0,19.0,9341.0
MD,HARFORD,110,712217.0,64.0,711561.0
MD,HOWARD,2806,777735.11,232.0,235747.6
MD,MONTGOMERY,1895,1080357.0899999999,55.0,129465.94
MD,PRINCE GEORGES,1887,1872368.92,859.0,1608467.65
MD,QUEEN ANNES,85,438926.85,58.0,430457.0
MD,ST MARYS,27,11307.0,27.0,11307.0
MD,SOMERSET,101,357832.54,47.0,263384.0
MD,TALBOT,23,5867.77,14.0,2925.0
MD,WASHINGTON,121,39472.0,81.0,26672.0
MD,WICOMICO,76,99971.0,76.0,99971.0
MD,WORCESTER,81,112525.55,67.0,43104.0
ME,ANDROSCOGGIN,18,551662.0,16.0,540843.0
ME,AROOSTOOK,9901,4805779.09,95.0,185112.0
ME,CUMBERLAND,1637,1448014.3,175.0,1120573.49
ME,FRANKLIN,61,24282.63,27.0,22941.0
ME,HANCOCK,17,2054.13,14.0,1878.0
ME,KENNEBEC,1139,2167456.89,208.0,1175268.0
ME,KNOX,32,53353.66,13.0,42459.0
ME,LINCOLN,4,552.0,4.0,552.0
ME,OXFORD,2000,340450.74,45.0,116415.5
ME,PENOBSCOT,36,24464.2,31.0,24150.2
ME,PISCATAQUIS,23,23371.97,16.0,22961.0
ME,SAGADAHOC,8,927.42,6.0,810.0
ME,SOMERSET,30,155343.0,27.0,9791.0
ME,WALDO,58,35193.020000000004,34.0,2084.0
ME,WASHINGTON,554,251930.38999999998,3.0,48067.0
ME,YORK,1023,2084402.63,76.0,954634.1
MI,ALCONA,6,2994.0,6.0,2994.0
MI,ALGER,3,75000.0,3.0,75000.0
MI,ALLEGAN,2841,1421143.85,33.0,1100569.0
MI,ALPENA,42,17713.72,40.0,17596.3
MI,ANTRIM,5,2134.0,5.0,2134.0
MI,ARENAC,6,828.0,6.0,828.0
MI,BARAGA,14,1420.81,3.0,775.0
MI,BARRY,217,1284423.23,118.0,1261675.97
MI,BAY,201,87392.62,46.0,83942.0
MI,BENZIE,12,5266.0,12.0,5266.0
MI,BERRIEN,3401,1820048.6600000001,179.0,1308234.38
MI,BRANCH,5,690.0,5.0,690.0
MI,CALHOUN,526,1037746.68,87.0,954695.0
MI,CASS,70,56079.38,1.0,55500.0
MI,CHARLEVOIX,6,2994.0,6.0,2994.0
MI,CHEBOYGAN,2,138.0,1.0,138.0
MI,CLARE,8398,712803.61,29.0,269507.0
MI,CLINTON,879,3885368.35,127.0,157280.6
MI,CRAWFORD,12,5988.0,12.0,5988.0
MI,DELTA,787,123366.77,39.0,81987.0
MI,EATON,1932,1096515.1099999999,62.0,1074215.38
MI,EMMET,14,1139.1,4.0,552.0
MI,GENESEE,6129,2009951.69,139.0,442810.07
MI,GOGEBIC,124,14809.41,21.0,10479.0
MI,GRAND TRAVERSE,79,34367.0,79.0,34367.0
MI,GRATIOT,16,3042.42,14.0,2925.0
MI,HILLSDALE,18,4957.0,18.0,4957.0
MI,HOUGHTON,5,531.42,3.0,414.0
MI,HURON,47,86623.77,21.0,77477.0
MI,INGHAM,8467,985915.57,291.0,574014.06
MI,IONIA,149,5240.72,9.0,1559.0
MI,IOSCO,39,7652.04,9.0,4130.0
MI,IRON,2,998.0,2.0,998.0
MI,ISABELLA,268,482922.6,50.0,278162.28
MI,JACKSON,23,560100.0,16.0,304269.0
MI,KALAMAZOO,2168,454710.58999999997,111.0,145524.0
MI,KALKASKA,1,25000.0,1.0,25000.0
