State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
AR,ST FRANCIS,20,337588.83999999997,11.0,294381.0
AR,SALINE,851,2528391.13,46.0,480631.88
AR,SCOTT,71,94019.34,41.0,76027.69
AR,SEBASTIAN,25,79234.0,25.0,79234.0
AR,SEVIER,13,6487.0,13.0,6487.0
AR,SHARP,43,131571.79,31.0,131073.0
AR,STONE,15,67016.23,2.0,66253.0
AR,UNION,21,6114.13,18.0,5938.0
AR,VAN BUREN,15,87380.03,9.0,74057.0
AR,WASHINGTON,106,347510.7,105.0,344936.7
AR,WHITE,55,623488.13,20.0,211979.0
AR,WOODRUFF,12,803.1,2.0,216.0
AR,YELL,7,3114.0,7.0,3114.0
AZ,APACHE,8,685001.0,7.0,85001.0
AZ,COCHISE,2629,1987839.94,83.0,512859.95
AZ,COCONINO,1432,648186.96,134.0,241975.75
AZ,GILA,4814,2381824.32,128.0,1772339.92
AZ,GRAHAM,631,372084.85,12.0,329107.38
AZ,GREENLEE,251,307002.54,20.0,248358.38
AZ,LA PAZ,287,674978.29,60.0,515797.0
AZ,MARICOPA,66384,11743680.59,1184.0,6649424.59
AZ,MOHAVE,598,1156286.16,95.0,1134654.42
AZ,NAVAJO,2191,2553484.21,87.0,2035747.0
AZ,PIMA,37046,2073288.5899999999,558.0,986765.75
AZ,PINAL,11969,5983681.49,364.0,3254871.02
AZ,SANTA CRUZ,1087,965336.36,29.0,725397.17
AZ,YAVAPAI,12676,2713232.89,537.0,2072041.72
AZ,YUMA,872,2141046.61,128.0,1658300.96
CA,ALAMEDA,762,367028.77999999997,79.0,334590.2
CA,ALPINE,20,4495.67,5.0,2716.0
CA,AMADOR,14,4521.98,8.0,3992.0
CA,BUTTE,396,1049293.3900000001,167.0,993338.0
CA,CALAVERAS,164,534339.7100000001,38.0,431907.0
CA,COLUSA,12,3663.42,10.0,3546.0
CA,CONTRA COSTA,7034,1642483.33,82.0,1381734.71
CA,DEL NORTE,45,6129.39,36.0,5601.0
CA,EL DORADO,549,1059114.58,107.0,1003346.96
CA,FRESNO,807,2224619.98,88.0,1607435.77
CA,GLENN,1402,105073.91,9.0,76223.0
CA,HUMBOLDT,118,798215.98,89.0,797346.0
CA,IMPERIAL,102,952.94,52.0,909.08
CA,INYO,6,2994.0,6.0,2994.0
CA,KERN,53358,5815929.99,543.0,3025633.05
CA,KINGS,4083,365015.65,121.0,150986.75
CA,LASSEN,485,353480.99,41.0,315256.77
CA,LOS ANGELES,254046,14318050.88,4799.0,8079462.65
CA,MADERA,64,1941.31,14.0,1932.0
CA,MARIN,562,346734.33,63.0,280117.5
CA,MARIPOSA,513,410616.98,2.0,383607.0
CA,MENDOCINO,7936,678533.75,27.0,19793.620000000003
CA,MERCED,838,1189214.25,93.0,961753.0
CA,MODOC,31,148285.08,12.0,121943.0
CA,MONO,15,106658.6,2.0,7156.0
CA,MONTEREY,3138,1208564.94,197.0,1011541.0
CA,NAPA,2781,399101.47000000003,30.0,284262.0
CA,NEVADA,48,754486.9299999999,42.0,747683.0
CA,ORANGE,22853,2422146.5,418.0,1975232.92
CA,PLACER,2223,319900.19,96.0,276885.0
CA,PLUMAS,9,66174.0,9.0,66174.0
CA,RIVERSIDE,240,1402022.25,238.0,1384545.0
CA,SACRAMENTO,56807,15623511.54,872.0,12841764.7
CA,SAN BERNARDINO,8085,5883724.63,169.0,4617824.34
CA,SAN DIEGO,11825,824472.1599999999,322.0,208456.28
CA,SAN FRANCISCO,1775,1460867.97,50.0,729850.8200000001
CA,SAN JOAQUIN,9927,827917.9400000001,235.0,190245.74
CA,SAN LUIS OBISPO,4551,898384.43,170.0,512865.26
CA,SAN MATEO,171,729363.08,140.0,726278.0
CA,SANTA BARBARA,14185,10523388.28,233.0,8840138.48
CA,SANTA CLARA,870,850120.8700000001,34.0,793329.0
CA,SANTA CRUZ,4,18054.18,4.0,18054.18
CA,SHASTA,1060,194811.34,81.0,171140.0
CA,SIERRA,190,35256.5,11.0,29990.0
CA,SISKIYOU,182,1097715.24,79.0,875998.84
CA,SOLANO,1359,932533.91,81.0,926722.0
CA,SONOMA,3040,481360.18,129.0,155740.85
CA,STANISLAUS,18619,323472.47000000003,129.0,153274.0
CA,SUTTER,162,793730.26,156.0,793378.0
CA,TEHAMA,33,479960.0,33.0,479960.0
CA,TRINITY,4,1996.0,4.0,1996.0
CA,TULARE,353,2161891.45,177.0,299978.0
CA,TUOLUMNE,17,7039.0,17.0,7039.0
CA,VENTURA,145057,8579830.1,1139.0,2385845.7800000003
CA,YOLO,5898,677328.86,452.0,634513.0
CA,YUBA,72,74085.4,11.0,52059.0
CO,ADAMS,673,106474.29,45.0,82103.0
CO,ALAMOSA,25,6212.0,25.0,6212.0
CO,ARAPAHOE,6388,840660.9199999999,231.0,486920.11
CO,ARCHULETA,3430,555209.0900000001,10.0,10117.0
CO,BACA,95,236229.94,8.0,147844.0
CO,BENT,292,156222.13999999998,11.0,26254.0
CO,BOULDER,280,6808.13,44.0,6074.0
CO,CHAFFEE,16,11878.0,16.0,11878.0
CO,CHEYENNE,3,138.0,1.0,138.0
